* min_df= 2 , max_df= 0.2, alpha= 0.05, accuracy_train=0.9415249217229416, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.2, alpha= 0.06, accuracy_train=0.9402978759414403, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.2, alpha= 0.07, accuracy_train=0.9393670136244394, accuracy_val=0.8983631518842786 
* min_df= 2 , max_df= 0.2, alpha= 0.08, accuracy_train=0.9383092155369384, accuracy_val=0.8976018271792919 
* min_df= 2 , max_df= 0.2, alpha= 0.09, accuracy_train=0.9372937293729373, accuracy_val=0.8972211648267986 
* min_df= 2 , max_df= 0.25, alpha= 0.01, accuracy_train=0.9521875264449522, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.25, alpha= 0.02, accuracy_train=0.9482948294829483, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.25, alpha= 0.03, accuracy_train=0.9454599306084455, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.25, alpha= 0.04, accuracy_train=0.942963527121943, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.25, alpha= 0.05, accuracy_train=0.9412287382584412, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.25, alpha= 0.06, accuracy_train=0.9398324447829398, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.25, alpha= 0.07, accuracy_train=0.9384361513074384, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.25, alpha= 0.08, accuracy_train=0.9373783532199373, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.25, alpha= 0.09, accuracy_train=0.9367436743674368, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.01, accuracy_train=0.9522298383684522, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.02, accuracy_train=0.9482102056359482, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.03, accuracy_train=0.9449521875264449, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.04, accuracy_train=0.9431750867394432, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.05, accuracy_train=0.941017178640941, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.06, accuracy_train=0.9397055090124397, accuracy_val=0.9014084507042254 
