* min_df= 2 , max_df= 0.25, alpha= 0.05, accuracy_train=0.94000169247694, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.25, alpha= 0.06, accuracy_train=0.9381822797664382, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.25, alpha= 0.07, accuracy_train=0.9366167385969366, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.25, alpha= 0.08, accuracy_train=0.9354320047389354, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.25, alpha= 0.09, accuracy_train=0.9341626470339341, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.01, accuracy_train=0.9526952695269527, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.02, accuracy_train=0.9473216552424473, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.03, accuracy_train=0.9445713802149446, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.04, accuracy_train=0.941990352881442, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.05, accuracy_train=0.9402132520944402, accuracy_val=0.898743814236772 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.06, accuracy_train=0.9382245916899382, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.07, accuracy_train=0.9368706101379368, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.08, accuracy_train=0.9355589405094356, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.09, accuracy_train=0.9337818397224338, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.01, accuracy_train=0.9524837099094525, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.02, accuracy_train=0.9473639671659474, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.03, accuracy_train=0.9444021325209444, accuracy_val=0.9017891130567187 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.04, accuracy_train=0.9419057290344419, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.05, accuracy_train=0.9398324447829398, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.06, accuracy_train=0.938055343995938, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.07, accuracy_train=0.9366590505204366, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.08, accuracy_train=0.9351358212744352, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.09, accuracy_train=0.9336549039519336, accuracy_val=0.901027788351732 
